Notes,NAME,Common Name,Common_name_final,Common Name2,Name_matched_rank,Name_matched_accepted_family,Genus_matched,Specific_epithet_matched,Unmatched_terms,Taxonomic_status,Name_matched_url,Habit_pfaf,Habit_trop,Habit_Combined,Evergreen,Herb,Annual,Woodiness,N_Fixing,Height_pfaf,Height_trop,height (KEW),Growth,cultivation_trop,Polli,Height_combined,Min Rainfall,Max Rainfall,Min T°,max T°,,Soil,Shade,Moisture,Hardiness,Weed,fao_name_old,fao_group_old,fao_group,FAO_DB_africa,FAO_DB_Timber,FAO_spice,FAO_II,Ecocrop,FAO_GROUPII,FAO_Khoury,Timber,Medicinal,Alim,Part,alim_tropMEAN,medi_tropMEAN,other_tropMEAN,Profile,Hazards,Source,IUCN,Habitats,Range,Native_to,pollinators_trop,
,Hieronyma alchorneoides,NA,,#N/A,species,Phyllanthaceae,Hieronyma,alchorneoides,NA,Accepted,http://www.tropicos.org/Name/12802330,√Årbol,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,25.00  ,NA,NULL,"Cultivated, Wild",insects,25,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,0,2,3,other,NA,NA,LC - least concern,NA,NA,,Insects,#N/A
Only control species,himatanthus tarapotensis,,,,,Apocynaceae,Himatanthus,tarapotensis,,Accepted,,,,NA,,Tree,Perennial,Woody,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,,,,,,,LC - least concern,,,,,
Only control species,homalium foetidum,,,,,Salicaceae,Homalium,foetidum,,Accepted,,,,Tree,,Tree,Perennial,Woody,No,,,,,Wild,,20,,,,,,,,,,,,#N/A,#N/A,#N/A,Timber,#N/A,#N/A,,,#N/A,Timber,,,,0,0,3,other,,,LC - least concern,,,,,
,Hopea odorata,NA,,#N/A,species,Dipterocarpaceae,Hopea,odorata,NA,Accepted,http://www.tropicos.org/Name/11300001,NA,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,30.00  ,NA,NULL,"Cultivated, Ornamental, Wild",Thrips,30,2200,5000,36,40,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,1,2,3,other,NA,NA,VU - vulnerable,NA,NA,,Thrips,#N/A
,Hordeum vulgare,"Barley, Common barley",Barley,"Barley, Common barley",species,Poaceae,Hordeum,vulgare,NA,Accepted,http://www.tropicos.org/Name/25509707,Annual,NA,"Annual, not climbing",herbaceous,herb,Annual,herbaceous,No,1,NA,NA,NULL,"Cultivated, Wild",Wind,1,,,,,,light (sandy) -medium -  heavy (clay),No shade,Moist,04->08,Yes,Barley,Cereals,Cereals,#N/A,#N/A,#N/A,,,Cereals,Beverage,,,Alim,cereals,4,3,2,alimmedi,Exposure to barley flour can cause asthma. Possible trigger for coeliac disease. Possible hypersensitivity to barley [301].,pfaf.org,NA,"Not known in the wild, it is found in Britain as a relict of cultivation but does not persist[17].",Of uncertain origin.,,Wind,#N/A
,Hovenia dulcis,Japanese Raisin Tree,Japanese_raisin_tree,Japanese Raisin Tree,species,Rhamnaceae,Hovenia,dulcis,NA,Accepted,http://www.tropicos.org/Name/27500165,Tree,Deciduous Tree,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,10,10.00  ,NA,NULL,"Cultivated, Wild",NA,10,NA,NA,NA,NA,,light (sandy) -medium,No shade,Moist,05 -> 09,No,Grapes,Fruits,#N/A,#N/A,#N/A,#N/A,,,Fruits,#N/A,,,Alim,Woody Fruits,3,2,3,alimother,None known,pfaf.org,LC - least concern,Plains and mountains to 2000 metres in W. China[109]. Secondary forest[266].,E. Asia - China to the Himalayas.,,NA,#N/A
Only control species,hura crepitans,,,,,Euphorbiaceae,Hura,crepitans,,,,,,Semi-deciduous Tree,Deciduous,Tree,Perennial,Woody,No,,,,Fast,"Cultivated, Ornamental, Wild",,12,,,,,,,,,,,,#N/A,#N/A,#N/A,Timber,#N/A,#N/A,,,#N/A,Timber,,,,0,2,3,other,,,LC - least concern,,,,,
Only control species,hybanthus atropurpureus,,,,,Violaceae,Hybanthus,atropurpureus,,Synonym,,,,NA,,Tree,Perennial,Woody,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,,,,,,,NA,,,,,
,Hymenaea courbaril,West Indian Locust,,West Indian Locust,NA,NA,NA,NA,NA,NA,NA,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,No,30,30.00  ,NA,Slow,"Cultivated, Ornamental, Semi-cultivated, Wild",Bats,30,1500,3000,20,30,,medium -  heavy (clay),No shade,Dry- Moist,10 ->  12,NA,NA,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Timber mainly,3,3,4,alimmediother,None known,pfaf.org,LC - least concern,"Found in a wide range of habitats including tropical dry forest, transition to premontane moist forest, and tropical wet forest as well as subtropical moist forest[303 , 791 ].","S. America - Brazil, Bolivia, Peru, Colombia, Venezuela, the Guyanas",,Bats,#N/A
,Ilex glabra,Inkberry,,Inkberry,species,Aquifoliaceae,Ilex,glabra,NA,Accepted,http://www.tropicos.org/Name/2000077,Shrub,NA,Evergreen Shrub,Evergreen,Shrub,Perennial,Woody,No,3,NA,NA,Slow,"Ornamental, Wild",bees,3,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,03->07,No,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,1,0,2,,"Although no specific reports of toxicity have been seen for this species, the fruits of at least some members of this genus contain saponins and are slightly toxic. They can cause vomiting, diarrhoea and stupor if eaten in quantity[274].",pfaf.org,LC - least concern,Wet acid soils[184]. Low sandy or peaty soils[43].,Eastern N. America - Nova Scotia to Florida and west to Montana.,,"Bees, no self",#N/A
,Ilex paraguariensis,NA,,#N/A,species,Aquifoliaceae,Ilex,paraguariensis,NA,Accepted,http://www.tropicos.org/Name/2000339,NA,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,8.00  ,NA,NULL,"Cultivated, Wild",insects,8,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,Mate,#N/A,#N/A,"Spice, Essential oil",,,"Stimulant, aromatic, spices, essential oil",Stimulants,,medicinal,Alim,Woody leaves,4,2,0,alim,NA,NA,NT - near threatened,NA,NA,,"nsect-pollinated plant probably without pollinator-specificity (Ferreira et al., 1983)",#N/A
,Indigofera dusoa,NA,,#N/A,species,Fabaceae,Indigofera,dumosa,NA,Accepted,https://wcvp.science.kew.org/taxon/499282-1,NA,NA,NA,herbaceous,herb,Annual/Perennial,herbaceous,Indigofera,NULL,NA,NA,NA,"Cultivated, Wild",insects,1.20,,,,,,NA,Full Sun,Moist,06 -> 10,NO,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,"1,00","0,00","0,00",,None known,NA,NA,"Thickets, streamsides, ravines in W. Hupeh, 300 - 2000 metres",NA,,insects,#N/A
,Indigofera hirsuta,NA,,#N/A,species,Fabaceae,Indigofera,hirsuta,NA,Accepted,http://www.tropicos.org/Name/13020821,NA,Annual,Annual,herbaceous,herb,Annual,herbaceous,Indigofera,NULL,1.20  ,NA,NULL,"Cultivated, Wild",insects,1.2,,,,,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,0,2,2,,NA,NA,NA,NA,NA,,Insects,#N/A
,Inga adenophylla,NA,,#N/A,species,Fabaceae,Inga,adenophylla,NA,Accepted,http://www.tropicos.org/Name/13006104,NA,Tree,deciduous Tree,Deciduous,Tree,Perennial,Woody,Inga,NULL,10,NA,NULL,"Cultivated, Wild",NA,10,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,2,0,2,,None known,NA,LC - least concern,"Open woods at elevations from 300 - 2,800 metres in Peru","S. America - Bolivia, Peru.",,NA,#N/A
,Inga densiflora,Densely flowered Inga,,Densely flowered Inga,NA,NA,NA,NA,NA,NA,NA,Tree,Tree,Tree,NA,tree,Perennial,Woody,No,15,0.00  ,NA,Medium,"Cultivated, Wild",Humingbirds,15,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Moist,10 ->  12,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,,,Alim,Woody Fruits,4,0,2,alim,None known,pfaf.org,LC - least concern,Not known,"S. America - Peru, Ecuador, Colombia, Venezuela, Guyana, French Guiana",,"hummingbirds (Trochilidae), hawkmoths (Sphingidae) (Koptur, 1983)",#N/A
,Inga edulis,"Ice Cream Bean, Monkey Tamarind",Ice_cream_bean,"Ice Cream Bean, Monkey Tamarind",species,Fabaceae,Inga,edulis,NA,Accepted,http://www.tropicos.org/Name/13006228,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,Inga,18,17.00  ,NA,Fast,"Cultivated, Wild",insects,17,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Dry- Moist - Wet,09 ->  12,No,Spices nes,Spices,#N/A,#N/A,#N/A,#N/A,,,spices,#N/A,,,Alim,Woody seeds,4,2,3,alimother,None known,pfaf.org,LC - least concern,"Forests on the riverine flood plains[416 ]. Moist, wet, or sometimes rather dry forest, or in open places at elevations below 1,500 metres[331 ]. Thickets and wooded swamps at elevations of 110 - 540 metres in Peru[453 ].","Northern and western S. America - Brazil, Bolivia, Peru, Ecuador, Colombia, Venezuela, the Guyanas.",,"Nocturnal pollinator (Eduardo Cristo de Oliveira Barros, et al., 2013)",#N/A
,Inga expansa,NA,,#N/A,species,Fabaceae,Inga,expansa,NA,Accepted,http://www.tropicos.org/Name/13006243,NA,Tree,deciduous Tree,Deciduous,Tree,Perennial,Woody,Inga,NULL,18.00  ,NA,NULL,"Cultivated, Wild",insects,18,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,3,0,2,alim,NA,NA,NA,NA,The native range of this species is Bolivia. It is a tree and grows primarily in the wet tropical biome,,insects,#N/A
,Inga feuilleei,"Ice-cream Bean, Pacay, Pacayer",Pacay,"Ice-cream Bean, Pacay, Pacayer",species,Fabaceae,Inga,feuillei,NA,Accepted,http://www.tropicos.org/Name/13006256,"Perennial, Not climbing, Tree",Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Inga,18,15.00  ,NA,NULL,Cultivated,insects,15,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,3,0,0,alim,NA,NA,NA,NA,NA,,"many pollinators (Herwig TeppnerEdith StabentheinerEdith Stabentheiner, 2006)",#N/A
,Inga flexuosa,NA,,#N/A,species,Fabaceae,Inga,micheliana,NA,Accepted,http://www.tropicos.org/Name/13008830,deciduous Shrub,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,Inga,1,NA,NA,NULL,wild,NA,NULL,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,NA,NA,NA,alimmediother,NA,NA,LC - least concern,NA,NA,,NA,#N/A
,Inga ingoides,NA,,#N/A,species,Fabaceae,Inga,ingoides,NA,Accepted,http://www.tropicos.org/Name/13021266,Tree,Tree,Tree,semi-evergeen,Tree,Perennial,Woody,Inga,NULL,20.00  ,NA,NULL,"Cultivated, Wild",insects,20,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,Alim,Woody Fruits,3,0,2,alim,NA,NA,LC - least concern,NA,NA,,Nocturnal pollinators (O Cruz Netto · 2015),#N/A
,Inga jinicuil,"Ice Cream Bean, Jinicuil",,"Ice Cream Bean, Jinicuil",species,Fabaceae,Inga,jinicuil,NA,Synonym,https://wcvp.science.kew.org/taxon/500507-1,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,Inga,20,20.00  ,NA,Fast,"Cultivated, Wild",insects,20,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Moist,10 ->  12,No,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,,,Alim,Woody Fruits,4,0,1,alim,None known,pfaf.org,LC - least concern,Moist lowland slopes[307 ].,Central America - Mexico to Costa Rica.,,Nocturnal pollinators (O Cruz Netto · 2015),#N/A
,Inga laurina,"Arbre a Miel, Caspiro, Cujincuil, Gina, Jina, Nacaspiro, Palal, Paternillo, Pois Doux Blanc, Spanish Oak",,"Arbre a Miel, Caspiro, Cujincuil, Gina, Jina, Nacaspiro, Palal, Paternillo, Pois Doux Blanc, Spanish Oak",species,Fabaceae,Inga,laurina,NA,Accepted,http://www.tropicos.org/Name/13021281,"Perennial, Not climbing, Tree",Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,Inga,NULL,9.00  ,NA,NULL,"Cultivated, Ornamental, Wild",insects,9,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,3,0,2,alim,NA,NA,LC - least concern,NA,NA,,Nocturnal pollinators (O Cruz Netto · 2015),#N/A
,Inga micheliana,,,#N/A,,Fabaceae,,,,,http://legacy.tropicos.org/Name/13008830?projectid=66,,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,No,6-10,,,NA,NA,insects,10,NA,NA,NA,NA,,NA,NA,NA,NA,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,1,0,3,other,,,LC - least concern,,,,insects,#N/A
,Inga oerstediana,NA,,#N/A,species,Fabaceae,Inga,oerstediana,NA,Accepted,http://www.tropicos.org/Name/13008862,NA,Tree,deciduous Tree,Deciduous,Tree,Perennial,Woody,Inga,NULL,15.00  ,NA,NULL,"Cultivated, Wild","Bees, Butterflies, Insects",15,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,"3,00","0,00","0,00",alim,None known,NA,LC - least concern,"Rainforests, mainly on the margins of rivers and wooded areas, at low to medium elevations","S. America - Bolivia, Peru, Ecuador, Colombia, Venezuela; C. America - Panama to southern Mexico; Caribbean - Trinidad to Grenada.",,"Bees, Butterflies, Insects",#N/A
,Inga paterna,,,#N/A,,Fabaceae,,,,,http://legacy.tropicos.org/Name/13008880?projectid=7,,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,No,NULL,NA,,NA,NA,insects,30,NA,NA,NA,NA,,NA,NA,NA,NA,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,NA,NA,NA,alimmediother,,,NA,,,,insects,#N/A
Only control species,inga pavoniana,,,,,Fabaceae,Inga,pavoniana,,Illegitimate,,,,Tree,,Tree,Perennial,Woody,Inga,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,2,0,2,,,,LC - least concern,,,,,
,Inga ruiziana,NA,,#N/A,species,Fabaceae,Inga,fagifolia,NA,Synonym,http://www.tropicos.org/Name/13021229,NA,Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,Inga,NULL,10.00  ,NA,NULL,"Cultivated, Wild",insects,10,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,3,1,2,alim,None known,NA,LC - least concern,"Wet lowland areas. Tropical moist forests. Found mainly in lowland areas, growing in dry, loamy soils in old clearings or along the margins of forests","S. America - Bolivia, western Brazil, north through Central America to Nicaragua.",,Nocturnal pollinators (O Cruz Netto · 2015),#N/A
,Inga sapindoides,NA,,#N/A,species,Fabaceae,Inga,rodrigueziana,NA,Synonym,http://www.tropicos.org/Name/13008931,NA,Tree,Evergreen Tree,Deciduous,Tree,Perennial,Woody,Inga,NULL,20.00  ,NA,NULL,"Cultivated, Wild",insects,20,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,2,0,2,,NA,NA,LC - least concern,Along forested roadsides ,"Northern S. America - Colombia, Peru, Ecuador and Venezuela, north to Mexico and the Caribbean.",,insects,#N/A
,Inga spp.,NA,,#N/A,genus,Fabaceae,Inga,NA,spp.,Accepted,http://www.tropicos.org/Name/40031040,NA,NA,Evergreen Tree,Evergreen,Tree,Perennial,Woody,Inga,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,NA,NA,NA,alimmediother,NA,NA,NA,NA,NA,,NA,#N/A
,Inga velutina,NA,,#N/A,species,Fabaceae,Inga,velutina,NA,Accepted,http://www.tropicos.org/Name/13009037,"Perennial, Not climbing, Tree",Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,Inga,NULL,18.00  ,NA,NULL,"Cultivated, Wild",insects,18,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,3,0,2,alim,NA,NA,LC - least concern,NA,NA,,insects,#N/A
,Inga vera,"Ice cream bean, River koko, Guaba, Pois Doux",,"Ice cream bean, River koko, Guaba, Pois Doux",species,Fabaceae,Inga,vera,NA,Accepted,http://www.tropicos.org/Name/13021418,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,Inga,15,12.00  ,NA,Fast,"Cultivated, Ornamental, Wild",bees,12,NA,NA,NA,NA,,medium -  heavy (clay),No shade,Moist,10 ->  12,No,Spices nes,Spices,#N/A,#N/A,#N/A,#N/A,,,spices,#N/A,,,Alim,Woody fruits,2,2,2.33333333333333,other,None known,pfaf.org,LC - least concern,"Tropical moist forest[315 ]. Along riverbanks and in sheltered ravines at elevations of 60 - 700 metres[426 ]. Prefers damp to wet soils, growing mainly in secondary formations[419 ].","Tropical S. America, north to the Caribbean and through Central America to Mexico.",,Bees,#N/A
,Ipomoea batatas,"Sweet Potato, Black Sweet Potato, Sweet Potato Vine",,"Sweet Potato, Black Sweet Potato, Sweet Potato Vine",species,Convolvulaceae,Ipomoea,batatas,NA,Accepted,http://www.tropicos.org/Name/8500721,Perennial Climber,NA,Perennial Climber,NA,herb climber,Perennial,herbaceous,No,3,1.00  ,NA,Fast,Cultivated,NA,2,,,,,,light (sandy) -medium,No shade,Moist,10 ->  12,Yes,Sweet potatoes,Roots and tubers,Sweet potatoes,#N/A,#N/A,#N/A,,,"Root,tuber",#N/A,,,Alim,Root/tuber,5,0,3,alimother,None known,pfaf.org,DD - data deficient,"Derived in cultivation, probably from Ipomoea trifida, this species is not known in a truly wild situation.",Pantropical.,,NA,#N/A
,Ipomoea quamoclit,NA,,#N/A,species,Convolvulaceae,Convolvulus,quamoclit,NA,Synonym,http://www.tropicos.org/Name/8501932,herbaceous,NA,Climbing,herbaceous,herb climber,Annual/Perennial,herbaceous,No,"0,91–3,05  ",NA,NA,NULL,NA,NA,3,,,,,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,NA,NA,ornemental,alimmediother,NA,NA,NA,NA,NA,,NA,#N/A
Only control species,iriartea deltoidea,,,,,Arecaceae,Iriartea,deltoidea,,,,,,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,,,,,Wild,,25,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,2,0,3,other,,,LC - least concern,,,,,
,Irvingia gabonensis,Dika Nut,,Dika Nut,species,Irvingiaceae,Irvingia,gabonensis,NA,Accepted,http://www.tropicos.org/Name/29400178,Tree,Evergreen Tree,Evergreen Tree,Evergreen,tree,Perennial,Woody,No,30,30.00  ,NA,Slow,"Cultivated, Semi-cultivated, Wild",insects,30,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),Semi-shade/full sun,Moist,10 ->  12,No,Nuts nes,Nuts,#N/A,Fooder,Timber,#N/A,,,"Fooder, Timber",#N/A,Timber,,Alim,Woody Fruits,4,3,3,alimmediother,None known,pfaf.org,NT - near threatened,"Evergreen dense, moist, lowland rain-forest[303 , 332 ].","Tropical Africa - Nigeria to Central African Republic, south to Congo, DR Congo and Angola.",,Insects,#N/A
Only control species,isatis indigotica,,,,,Brassicaceae,Isatis,indigotica,,Synonym,,,,NA,,herb,herb,herbaceous,No,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,,,,,,,,,,,NA,,,,,
,Isatis tinctoria subsp. Tinctoria,NA,,#N/A,species,Brassicaceae,Isatis,indigotica,NA,Synonym,http://www.tropicos.org/Name/4102170,BIENNIAL/PERENNIAL,NA,NA,NA,herb,Biennal/perennial,herbaceous,No,1,NA,NA,NA,NA,NA,1,,,,,,NA,Semi shade/Full Sun,Moist,06 -> 09,YES,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,colorant,#N/A,NA,NA,NA,NA,"2,00","3,00","2,00",medi,None known,NA,NA,"Cliffs and cornfields, often on chalky soils",C. and S. Europe. Naturalized in S. and C. England,,NA,#N/A
,Jacaranda mimosifolia,NA,,#N/A,species,Bignoniaceae,Jacaranda,mimosifolia,NA,Accepted,http://www.tropicos.org/Name/3700578,NA,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,No,NULL,15.00  ,NA,NULL,"Ornamental, Wild","Bees, Birds",15,900,1300,20,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,Timber,#N/A,Timber,,,Woody shoot,0,2,2,,NA,NA,VU - vulnerable,NA,NA,,"Bees, Birds",#N/A
,Joannesia princeps,NA,,#N/A,species,Euphorbiaceae,Joannesia,princeps,NA,Accepted,http://www.tropicos.org/Name/12800070,A large tree,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,No,NULL,17.00  ,NA,NULL,"Cultivated, Ornamental, Wild",NA,17,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,1,2,3,other,NA,NA,VU - vulnerable,NA,NA,,NA,#N/A
,Juglans boliviana,NA,,#N/A,species,Juglandaceae,Juglans,boliviana,NA,Accepted,http://www.tropicos.org/Name/16700013,NA,Deciduous Tree,Deciduous Tree,Deciduous,Tree,Perennial,Woody,No,NULL,30.00  ,NA,NULL,Wild,Wind,30,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,Timber,#N/A,,,"Fruits, nuts, timber",#N/A,Timber,,Alim,Woody Fruits,3,0,2,alim,NA,NA,NA,NA,NA,,wind,#N/A
,juglans major x juglans regia,,,NA,species,Juglandaceae,Juglans,major,x juglans regia,NA,http://www.worldfloraonline.org/taxon/wfo-0001067436,,NA,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,30,NA,NA,NA,"Cultivated, Ornamental, Wild",wind,30,NA,NA,NA,NA,,NA,Full Sun,Moist,04 -> 09,NO,Walnuts,Nuts,#N/A,#N/A,#N/A,#N/A,,,Nuts,#N/A,Other,,,Woody nuts,"3,00","3,00","4,00",alimmediother,The plant has occasionally been known to cause contact dermatitis in humans,NA,NA,"Rich fertile woods and hillsides[43, 82] in deep well-drained soils[229].","Eastern N. America - Massachusetts to Florida, west to Texas and Minnesota.",,"Wind, self fertile",#N/A
,Juglans nigra,Black Walnut,,Black Walnut,species,Juglandaceae,Juglans,nigra,NA,Accepted,http://www.tropicos.org/Name/16700006,Tree,NA,Deciduous tree,Deciduous,tree,Perennial,Woody,No,30,NA,NA,Fast,"Cultivated, Ornamental, Wild",wind,30,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Moist,04 -> 09,No,Walnuts,Nuts,#N/A,#N/A,Timber,#N/A,,,"Fruits, nuts, timber",#N/A,Timber,,Alim,Woody Fruits,3,3,4,alimmediother,The plant has occasionally been known to cause contact dermatitis in humans[274].,pfaf.org,LC - least concern,"Rich fertile woods and hillsides[43, 82] in deep well-drained soils[229].","Eastern N. America - Massachusetts to Florida, west to Texas and Minnesota.",,"Wind, self fertile",#N/A
,Juglans nigra x Juglans regia,Black Walnut,,Black Walnut,species,Juglandaceae,Juglans,nigra,x Juglans regia,Accepted,http://www.tropicos.org/Name/16700006,deciduous Tree,NA,Deciduous Tree,Deciduous,tree,Perennial,Woody,No,30,NA,NA,NA,"Cultivated, Ornamental, Wild",wind,30,NA,NA,NA,NA,,NA,Full Sun,Moist,04 -> 09,NO,Walnuts,Nuts,#N/A,#N/A,#N/A,#N/A,,,Nuts,#N/A,Other,,,Woody nuts,"3,00","3,00","4,00",alimmediother,The plant has occasionally been known to cause contact dermatitis in humans,NA,NA,"Rich fertile woods and hillsides[43, 82] in deep well-drained soils[229].","Eastern N. America - Massachusetts to Florida, west to Texas and Minnesota.",,"Wind, self fertile",#N/A
,Juglans regia,"Walnut, English walnut, Persian Walnut,",,"Walnut, English walnut, Persian Walnut,",species,Juglandaceae,Juglans,regia,NA,Accepted,http://www.tropicos.org/Name/16700045,Tree,NA,Deciduous tree,Deciduous,Tree,Perennial,Woody,No,20,NA,NA,Medium,Wild,wind,20,NA,NA,NA,NA,,light (sandy) -medium -  heavy (clay),No shade,Moist,07 -> 09,No,Walnuts,Nuts,#N/A,#N/A,Timber,#N/A,,,"Fruits, nuts, timber",Nut,Timber,,Alim,"Woody Fruits, Timber",4,3,4,alimmediother,None known,pfaf.org,LC - least concern,"Forests in the Himalayas, preferring a northerly aspect in the west but a southerly or westerly aspect in the east of the range[144].",E. Europe to N. Asia. More or less naturalized in S. Britain.,,"Wind, self fertile",#N/A
,Juniperus procera,NA,,#N/A,species,Cupressaceae,Juniperus,procera,NA,Accepted,http://www.tropicos.org/Name/9400389,Straight evergreen trees up to 40 m.,Evergreen Tree,Evergreen Tree,Evergreen,Tree,Perennial,Woody,No,NULL,30.00  ,NA,NULL,"Cultivated, Ornamental, Wild",Wind,30,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NO_FAO_GROUP,#N/A,NA,NA,NA,NA,0,2,3,other,NA,NA,LC - least concern,NA,NA,,Wind,#N/A
